epoch	loss	learning_rate
1.28	0.08822	6.914e-05
1.283	0.1128	6.87e-05
1.285	0.1411	6.826e-05
1.288	0.1115	6.782e-05
1.291	0.1026	6.738e-05
1.293	0.1095	6.694e-05
1.296	0.09197	6.65e-05
1.299	0.09548	6.606e-05
1.301	0.1145	6.562e-05
1.304	0.05147	6.519e-05
1.307	0.09593	6.475e-05
1.309	0.1556	6.432e-05
1.312	0.1172	6.388e-05
1.315	0.1421	6.345e-05
1.317	0.07501	6.301e-05
1.32	0.1184	6.258e-05
1.323	0.06123	6.215e-05
1.325	0.1143	6.172e-05
1.328	0.123	6.129e-05
1.331	0.102	6.086e-05
1.333	0.09999	6.043e-05
1.336	0.1201	6.001e-05
1.339	0.1059	5.958e-05
1.341	0.07661	5.916e-05
1.344	0.09386	5.873e-05
1.347	0.1112	5.831e-05
1.349	0.1371	5.789e-05
1.352	0.0928	5.746e-05
1.355	0.119	5.704e-05
1.357	0.07897	5.662e-05
1.36	0.09261	5.62e-05
1.363	0.1298	5.579e-05
1.365	0.0944	5.537e-05
1.368	0.1192	5.495e-05
1.371	0.1114	5.454e-05
1.373	0.09486	5.412e-05
1.376	0.1745	5.371e-05
1.379	0.08706	5.33e-05
1.381	0.1052	5.289e-05
1.384	0.1294	5.248e-05
1.387	0.1006	5.207e-05
1.389	0.1026	5.166e-05
1.392	0.1042	5.125e-05
1.395	0.1235	5.085e-05
1.397	0.06767	5.044e-05
1.4	0.07928	5.004e-05
1.403	0.1124	4.964e-05
1.405	0.1426	4.924e-05
1.408	0.0977	4.884e-05
1.411	0.08367	4.844e-05
1.413	0.1036	4.804e-05
1.416	0.1325	4.764e-05
1.419	0.07623	4.725e-05
1.421	0.1066	4.685e-05
1.424	0.07219	4.646e-05
1.427	0.1107	4.606e-05
1.429	0.08586	4.567e-05
1.432	0.1052	4.528e-05
1.435	0.1055	4.489e-05
1.437	0.08235	4.451e-05
1.44	0.1208	4.412e-05
1.443	0.1037	4.373e-05
1.445	0.09446	4.335e-05
1.448	0.09315	4.297e-05
1.451	0.07607	4.259e-05
1.453	0.1105	4.22e-05
1.456	0.1027	4.183e-05
1.459	0.1157	4.145e-05
1.461	0.08874	4.107e-05
1.464	0.07851	4.07e-05
1.467	0.06297	4.032e-05
1.469	0.04566	3.995e-05
1.472	0.07894	3.958e-05
1.475	0.09827	3.921e-05
1.477	0.1259	3.884e-05
1.48	0.09915	3.847e-05
1.483	0.08182	3.81e-05
1.485	0.09602	3.774e-05
1.488	0.1355	3.738e-05
1.491	0.08428	3.701e-05
1.493	0.07217	3.665e-05
1.496	0.09441	3.629e-05
1.499	0.1153	3.594e-05
1.501	0.1075	3.558e-05
1.504	0.1036	3.522e-05
1.507	0.08801	3.487e-05
1.509	0.1156	3.452e-05
1.512	0.06813	3.417e-05
1.515	0.1199	3.382e-05
1.517	0.06657	3.347e-05
1.52	0.08193	3.312e-05
1.523	0.07697	3.278e-05
1.525	0.08436	3.243e-05
1.528	0.099	3.209e-05
1.531	0.09149	3.175e-05
1.533	0.09836	3.141e-05
1.536	0.09241	3.107e-05
1.539	0.1103	3.074e-05
1.541	0.08627	3.04e-05
1.544	0.1033	3.007e-05
1.547	0.08885	2.974e-05
1.549	0.143	2.94e-05
1.552	0.1129	2.908e-05
1.555	0.07186	2.875e-05
1.557	0.06022	2.842e-05
1.56	0.1211	2.81e-05
1.563	0.102	2.778e-05
1.565	0.09689	2.745e-05
1.568	0.09061	2.714e-05
1.571	0.07335	2.682e-05
1.573	0.1191	2.65e-05
1.576	0.1136	2.619e-05
1.579	0.09848	2.587e-05
1.581	0.05723	2.556e-05
1.584	0.07566	2.525e-05
1.587	0.05835	2.494e-05
1.589	0.1013	2.464e-05
1.592	0.07187	2.433e-05
1.595	0.08372	2.403e-05
1.597	0.07088	2.373e-05
1.6	0.07819	2.343e-05
1.603	0.1384	2.313e-05
1.605	0.1115	2.283e-05
1.608	0.08031	2.253e-05
1.611	0.0958	2.224e-05
1.613	0.08734	2.195e-05
1.616	0.09901	2.166e-05
1.619	0.07806	2.137e-05
1.621	0.08823	2.108e-05
1.624	0.06369	2.08e-05
1.627	0.08054	2.052e-05
1.629	0.07927	2.023e-05
1.632	0.05768	1.995e-05
1.635	0.1199	1.968e-05
1.637	0.08392	1.94e-05
1.64	0.107	1.913e-05
1.643	0.1181	1.885e-05
1.645	0.07788	1.858e-05
1.648	0.1039	1.831e-05
1.651	0.06889	1.804e-05
1.653	0.06215	1.778e-05
1.656	0.08107	1.751e-05
1.659	0.08994	1.725e-05
1.661	0.07832	1.699e-05
1.664	0.08176	1.673e-05
1.667	0.0749	1.648e-05
1.669	0.09124	1.622e-05
1.672	0.07524	1.597e-05
1.675	0.08771	1.572e-05
1.677	0.05555	1.547e-05
1.68	0.1142	1.522e-05
